language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls
anor1241,Anor,-4.98449,144.801,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10643', 'label': 'Anor'}, {'url': 'https://www.wikidata.org/entity/Q56458', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Anor_language', 'label': None}]",450,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10643']
aiom1240,Aiome,-5.13467,144.765,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10644', 'label': 'Aiome'}, {'url': 'https://www.wikidata.org/entity/Q56735', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Aiome_language', 'label': None}]",620,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10644']
kire1240,Kire,-4.25927,144.711,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10652', 'label': 'Kire'}, {'url': 'https://wals.info/languoid/lect/wals_code_kie', 'label': 'Kire'}, {'url': 'https://en.wikipedia.org/wiki/Kire_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q11129733', 'label': None}]","1,900",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10652']
sepe1240,Sepen,-4.22789,144.809,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10651', 'label': 'Sepen'}, {'url': 'https://www.wikidata.org/entity/Q4701931', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Akukem_language', 'label': None}]",409,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10651']
arua1260,Aruamu,-4.28957,144.842,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10650', 'label': 'Aruamu'}, {'url': 'https://wals.info/languoid/lect/wals_code_mkr', 'label': 'Mikarew'}, {'url': 'https://en.wikipedia.org/wiki/Aruamu_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3501809', 'label': None}]","5,350",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10650']
bore1247,Borei,-4.08697,144.715,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10647', 'label': 'Borei'}, {'url': 'https://www.wikidata.org/entity/Q6799756', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Mbore_language', 'label': None}]","1,202",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10647']
awar1249,Awar,-4.13554,144.836,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10648', 'label': 'Awar'}, {'url': 'https://grambank.clld.org/languages/awar1249', 'label': 'Awar'}, {'url': 'https://en.wikipedia.org/wiki/Awar_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56876', 'label': None}]","<1,153",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10648']
bosn1248,Bosngun,-4.16201,144.647,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10649', 'label': 'Bosmun'}, {'url': 'https://www.wikidata.org/entity/Q56838', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Bosmun_language', 'label': None}]","<1,768",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10649']
wata1253,Watam,-4.02591,144.583,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10645', 'label': 'Watam'}, {'url': 'https://www.wikidata.org/entity/Q3566597', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Marangis_language', 'label': None}, {'url': 'https://wals.info/languoid/lect/wals_code_wtm', 'label': 'Watam'}]","<1,086",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10645']
kaia1245,Kaian,-4.06543,144.756,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10646', 'label': 'Kaian'}, {'url': 'https://www.wikidata.org/entity/Q6347538', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Kaian_language', 'label': None}, {'url': 'https://wals.info/languoid/lect/wals_code_kai', 'label': 'Kaian'}]",<792,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10646']
anda1284,Andarum,-4.48734,144.767,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10656', 'label': 'Andarum'}, {'url': 'https://www.wikidata.org/entity/Q3507888', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Andarum_language', 'label': None}]",830,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10656']
tang1356,Tanguat,-4.57282,144.927,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10655', 'label': 'Tanguat'}, {'url': 'https://www.wikidata.org/entity/Q7683166', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Tanguat_language', 'label': None}]",510,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10655']
